Longitude,Latitude,Country,State,Locality,Elevation,Temperature,Precipitation,Buffer_0km ,Buffer_1km,Biome,Kingdom_host,Subkingdom_host,Phylum_host,Class_host,Order_host,Family_host,Genus_host,Host_species,Authors_host,IUCN,FishBase,Site_of_infection,Parasite_habitat,Exotic_or_native,Environment,Kingdom_parasite,Subkingdom_parasite,Phylum_parasite,Class_parasite,Order_parasite,Family_parasite,Genus_parasite,Parasite_species,Authors_parasite,Stage,Reference,
-102.6175,21.86138889,Mexico,Aguascalientes,Rio Gil,1794,18.9,582,1,1,Tropical & Subtropical Coniferous Forests,Animalia,Eumetazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Yuriria,Yuriria_alta,"(Jordan, 1880)",EN,NA,Intestine,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Schyzocotyle,Schyzocotyle_acheilognathi,"(Yamaguti, 1934) Brabec, Waeschenbach, Scholz, Littlewood & Kuchta, 2015",Adult,"Pérez-Ponce de León, G., B. Mendoza-Garfias, R. Rosas-Valdez & A. Choudhury. 2013. New host and locality records of freshwater fish helminth parasites in river basins north of the Transmexican Volcanic Belt: another look at biogeographical patterns. Revista Mexicana de Biodiversidad. 84(2): 556-562.",
-102.8066667,21.79111111,Mexico,Aguascalientes,Rio Calvillo,1562,20.3,618,1,1,Deserts & Xeric Shrublands,Animalia,Eumetazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis_macrochirus,"Rafinesque, 1819",LC,NA,Heart,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Posthodiplostomum,Posthodiplostomum_minimum,"(MacCallum, 1921) Dubois, 1936",Larva,"Aguilar-Castellanos, E. 2002. Inventario de helmintos parásitos de peces de la cuenca del Río Pánuco y parte del Lerma-Santiago. BSc Thesis, Facultad de Ciencias, UNAM. Mexico City: 53 pp.",
-102.8066667,21.79111111,Mexico,Aguascalientes,Rio Calvillo,1562,20.3,618,1,1,Deserts & Xeric Shrublands,Animalia,Eumetazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis_sp.,NA,NA,NA,Mesentery,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Posthodiplostomum,Posthodiplostomum_minimum,"(MacCallum, 1921) Dubois, 1936",Larva,"Aguilar-Castellanos, E. 2002. Inventario de helmintos parásitos de peces de la cuenca del Río Pánuco y parte del Lerma-Santiago. BSc Thesis, Facultad de Ciencias, UNAM. Mexico City: 53 pp.",
-102.6175,21.86138889,Mexico,Aguascalientes,Rio Gil,1794,18.9,582,1,1,Tropical & Subtropical Coniferous Forests,Animalia,Eumetazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Yuriria,Yuriria_alta,"(Jordan, 1880)",EN,NA,Mesentery,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Trematoda,Diplostomida,Diplostomidae,Posthodiplostomum,Posthodiplostomum_minimum,"(MacCallum, 1921) Dubois, 1936",Larva,"Pérez-Ponce de León, G., B. Mendoza-Garfias, R. Rosas-Valdez & A. Choudhury. 2013. New host and locality records of freshwater fish helminth parasites in river basins north of the Transmexican Volcanic Belt: another look at biogeographical patterns. Revista Mexicana de Biodiversidad. 84(2): 556-562.",
-116.6322222,31.73805556,Mexico,Baja California,Estero Punta Banda,-6,16.5,305,0,1,"Mediterranean Forests, Woodlands & Scrub",Animalia,Eumetazoa,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys_californicus,"(Ayres, 1859)",NA,LC,Mesentery,Endoparasite,Native,Brackish,Animalia,Eumetazoa,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,Corynosoma_strumosum,"(Rudolphi, 1802) Lühe, 1904",Larva,"Castillo-Sánchez, E., J. A. Rosales-Casián & G. Pérez-Ponce de León. 1998. Helmintos parásitos de Paralichthys californicus (Osteichthyes: Paralichthyidae) en el Estero de Punta Banda, Bahía de Todos Santos y Bahía de San Quintín, Baja California, México. Ciencias Marinas. 24(4): 1-20.",
-115.6380556,31.11111111,Mexico,Baja California,Arroyo San Rafael,1199,14,353,1,1,"Mediterranean Forests, Woodlands & Scrub",Animalia,Eumetazoa,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus_mykiss,"(Walbaum, 1792)",NA,NE,Intestine,Endoparasite,Exotic,Freshwater,Animalia,Eumetazoa,Nematoda,Chromadorea,Spirurida,Rhabdochonidae,Rhabdochona,Rhabdochona_cascadilla,"Wigdor, 1918",Adult,"Valles-Ríos, M. E. & G. Ruíz-Campos. 1997. Prevalencia e intensidad de helmintos parásitos del tracto digestivo de la trucha arcoiris Oncorhynchus mykiss nelsoni (Pisces: Salmonidae) de Baja California, México. Revista de Biología Tropical. 44(3): 579-584.",
-116.6322222,31.73805556,Mexico,Baja California,Estero Punta Banda,-6,16.5,305,0,1,"Mediterranean Forests, Woodlands & Scrub",Animalia,Eumetazoa,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys_californicus,"(Ayres, 1859)",NA,LC,Intestine,Endoparasite,Native,Brackish,Animalia,Eumetazoa,Nematoda,Chromadorea,Rhabditida,Camallanidae,Procamallanus,Procamallanus_pereirai,"(Annereaux, 1946) Olsen, 1952",Adult,"Castillo-Sánchez, E., J. A. Rosales-Casián & G. Pérez-Ponce de León. 1998. Helmintos parásitos de Paralichthys californicus (Osteichthyes: Paralichthyidae) en el Estero de Punta Banda, Bahía de Todos Santos y Bahía de San Quintín, Baja California, México. Ciencias Marinas. 24(4): 1-20.",
-115.1436111,32.11083333,Mexico,Baja California,Rio Colorado,-1,22.2,61,1,1,Deserts & Xeric Shrublands,Animalia,Eumetazoa,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil_cephalus,"Linneo, 1758",LC,NA,Liver,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Nematoda,Chromadorea,Rhabditida,Anisakidae,Contracaecum,Contracaecum_multipapillatum,"(Von Drasche, 1882) Lucker, 1941",Larva,"Valles-Ríos, M. E., G. Ruíz-Campos & L. Galavíz-Silva. 2000. Prevalencia en intensidad parasitaria en Mugil cephalus (Pisces: Mugilidae), del Río Colorado, Baja Calfornia, México. Revista de Biología Tropical. 48 (2/3): 495-501.",
-115.2661111,32.38916667,Mexico,Baja California,Geotérmica en Mexicali,16,22.6,65,1,1,Deserts & Xeric Shrublands,Animalia,Eumetazoa,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon_macularius,"Baird & Girard, 1853",VU,NA,Gallbladder,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Cestoda,Cyclophyllidea,Gryporhynchidae,Glossocercus,Glossocercus_auritus,"(Rudolphi, 1819) Bona, 1994",Larva,"Specimens deposited in the Colección Nacional de Helmintos, Instituto de Biología, UNAM. Accession number: CNHE 10799.",
-115.1436111,32.11083333,Mexico,Baja California,Rio Colorado,-1,22.2,61,1,1,Deserts & Xeric Shrublands,Animalia,Eumetazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis_sonoriensis,"(Girard, 1859)",DD,NA,Intestine,Endoparasite,Native,Freshwater,Animalia,Eumetazoa,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Schyzocotyle,Schyzocotyle_acheilognathi,"(Yamaguti, 1934) Brabec, Waeschenbach, Scholz, Littlewood & Kuchta, 2015",Adult,"Pérez-Ponce de León, G., O. Lagunas-Calvo, L. García-Prieto, R. Briosio-Aguilar & R. Aguilar-Aguilar. 2018. Update on the distribution of the co-invasive Schyzocotyle acheilognathi (= Bothriocephalus acheilognathi), the Asian fish tapeworm, in freshwater fishes of Mexico. Journal of Helminthology. 82(3): 279-290.",
